ReqID,Requirement,TestID,CodeRef,Status,Notes
LBA-REQ-011,"The system shall correlate CPU, RAM, and disk usage samples to the benchmark frame timeline on a shared epoch-ms/frame axis and, anchored on a trigger instant, shall compute a pre/post-trigger window analysis (count, mean, min, max and post-minus-pre delta) for each metric.",T-011,"experiments/resource-usage-correlation/resourceUsageCorrelation.mjs; experiments/resource-usage-correlation/receipt.json; experiments/mprr-capture-ring/in-guest-resource-sampler.py; experiments/mprr-capture-ring/resource-correlated-record.mjs; experiments/mprr-capture-ring/live-vbox-resource-correlation.mjs; experiments/mprr-capture-ring/fixtures/labview-launch-resource-correlation.json; experiments/mprr-capture-ring/verify-resource-correlated-record.mjs; experiments/resource-usage-correlation/verify-resource-correlation.mjs",Proven,"Pure deterministic ESM correlation core; self-test 9/9 green over a canonical CPU/RAM/disk series with a Getting-Started-Window-visible trigger (frame 12; cpu/ram/disk deltaMean 37.25/227.5/23.75). LIVE capture + sampling now PROVEN on the VBox clean room: a REAL LabVIEW IDE launch was benchmarked through the visual ring while an in-guest Python sampler (in-guest-resource-sampler.py, /proc-based system CPU/RAM/disk, guest epoch-ms) ran in a persistent session; the samples were folded onto the host epoch-ms axis via a measured host<->guest offset and correlated to the frame timeline anchored on the UI-READY settle instant (the trigger), so the pre/post windows read machine load WHILE LAUNCHING vs ONCE SETTLED. Real fixture labview-launch-resource-correlation.json (169 samples, 22 pre / 147 post, launchMs 3241; RAM deltaMean +117MB as LabVIEW loads resident, a warm launch is RAM-bound). Re-runnable gate capture-ring-resource-correlation-live re-derives the committed pre/post windows from the committed host-epoch samples (no-rot); the resource-profile panel (buildResourcePanelHtml) + the Open Benchmark Resource Profile command surface it in the extension UI."
LBA-REQ-012,"The system shall embed version-pinned agent base instructions in the lbabus binary and expose them via the lbabus agents command (print, --out, --check) so every session on a given version shares byte-identical, hardenable base instructions.",T-012,"tools/collab-cli/agents/AGENTS.md; tools/collab-cli/Agents.cs; tools/collab-cli/ci/Dockerfile (ci-agents); tools/collab-cli/ci/verify-linux.sh; tools/collab-cli/ci/verify-windows.ps1",Proven,"Embedded resource round-trips (--out then --check exit 0) and drift is detected (--check exit 3); gated by the ci-agents Dockerfile stage in the release harness. Verified locally on Windows and in the Linux container."
LBA-REQ-013,"The coordination bus shall let a sender tag a message with a priority tier (P0>P1>P2>P3, default P2) and an explicit addressee, and shall let a reader filter its inbox with --to-me and --min-priority, as additive flat-scalar fields that keep the vihs-collab-msg@v1 schema so older clients parse-and-ignore.",T-013,"tools/collab-cli/Priority.cs; tools/collab-cli/CollabMessage.cs; tools/collab-cli/Config.cs; tools/collab-cli/ci/cases/linux-to-me-recipient-filter.json",Proven,"Priority + addressing envelope. --to-me recipient filter + --min-priority triage proven by the fixture-priority mock cases; back-read-compat (flat parses, nested + schema@v2 drop) locked by linux-envelope-flat-additive-back-read-compat; flat-scalar + schema-unchanged constraints verified on the Windows plane (bus finding 17812593)."
LBA-REQ-014,"The system shall let each plane (LINUX, WIN) produce a deterministic benchmark run from the same mprr short-packet input, store it on a plane-local big drive, and compare the two planes' runs of a shared benchmarkId, reporting numeric metric deltas and content-digest agreement (the deterministic seriesHash must match across planes; the per-plane screenshot hash is a visual witness).",T-014,experiments/mprr-ring/mprrRing.mjs; experiments/mprr-ring/mprrViewerSeries.mjs; experiments/mprr-ring/verify-mprr-ring.mjs; experiments/mprr-ring/fixtures/short-packet-run.json; experiments/benchmark-store/benchmarkStore.mjs; experiments/benchmark-store/register-mprr-run.mjs; experiments/benchmark-store/verify-benchmark-store.mjs; playwright/screenshot.mjs; playwright/screenshot-receipt-LINUX.json; scripts/stage-media.mjs; src/extension.ts; experiments/benchmark-store/run-LINUX.json; experiments/benchmark-store/run-WIN.json; experiments/benchmark-store/cross-plane-comparison-receipt.json; experiments/mprr-capture-ring/workload-cross-plane.selftest.mjs; experiments/mprr-capture-ring/verify-cross-plane-trend.mjs; experiments/mprr-capture-ring/verify-trend.mjs,Proven,"LINUX side PROVEN + gated; the cross-plane loop is now PROVEN on a real WIN plane. The absorbed mprr zero-copy short-ring core (mprrRing.mjs, faithful to MPRR-REQ-094/104-119) deterministically ingests a short-packet stream into a viewer series + benchmark summary (verify-mprr-ring 9/9). The shipped viewer renders it and playwright/screenshot.mjs captures a byte-identical PNG twice on LINUX (seriesHash 7ad1c75d0824..., pngSha256 26efa11e6540...). The benchmark store crossPlaneCompare reports numeric deltas + a digests section (the deterministic seriesHash MUST match cross-plane; the per-plane screenshot pngSha256 is a witness), failing closed on a single-plane compare (verify-benchmark-store 6/6); local gates #27/#28. The real LINUX mprr run is registered on the big drive (benchmarkId mprr-short-ring-fixture). PROVEN 2026-07-31: a real WIN Node run (win32/x64, Node v22.15.0, on actor-win11-decouple over WinRM) independently produced the identical deterministic seriesHash 7ad1c75d0824; crossPlaneCompare confirms the match with all metric deltas 0 (gate cross-plane-comparison-proven-green). The prior identical-to-LINUX WIN pngSha256 was a synthetic placeholder and has been removed; the per-plane WIN screenshot visual witness is a pending maintainer step (browser, non-CI). The shipped extension viewer (src/extension.ts) now renders this mprr series by default -- media/mprr-series.json is build-generated by scripts/stage-media.mjs from the fixture via the ring core and bundled into the .vsix -- so the DEPLOYED viewer shows real mprr ring-buffer data (the demo series is only a fallback). PROVEN 2026-07-28: WIN produced the real Windows-native mprr run (PR #80, run-WIN.json) and the first real cross-plane comparison PASSES -- compare-cross-plane.mjs pairs run-LINUX.json + run-WIN.json into cross-plane-comparison-receipt.json with the deterministic seriesHash MATCHING (7ad1c75d0824...) and every numeric metric delta 0; local gate cross-plane-comparison-proven-green re-validates it."
LBA-REQ-015,"The system shall install the LabVIEW VI Analyzer Toolkit in the Windows clean room and summarize a VI Analyzer run over a repo VIs into a deterministic order-independent result (per-run pass/fail/error counts + per-VI findings + a resultHash), so a VI Analyzer run becomes a cross-plane-comparable benchmark: two planes summarizing the same run produce the same resultHash.",T-015,experiments/vi-analyzer/viAnalyzerResult.mjs; experiments/vi-analyzer/verify-vi-analyzer-result.mjs; experiments/vi-analyzer/fixtures/sample-report.json; experiments/vi-analyzer/fixtures/sample-report-allpass.json; experiments/vi-analyzer/vi-analyzer-report.schema.json; experiments/vi-analyzer/validate-vi-analyzer-report.mjs; experiments/vi-analyzer/parse-vi-analyzer-ascii.mjs; experiments/vi-analyzer/icon-editor-report.json; cleanroom/docker-windows/install-vi-analyzer.ps1; experiments/vi-analyzer/vi-analyzer-live-evidence.json; experiments/vi-analyzer/vi-analyzer-trend-live-evidence.json; experiments/vi-analyzer/vi-analyzer-trend-live-evidence-WIN.json; experiments/vi-analyzer/run-vi-analyzer-trend.sh; experiments/vi-analyzer/run-vi-analyzer-trend.ps1; experiments/vi-analyzer/verify-vi-analyzer-trend.mjs; experiments/benchmark-store/compare-vi-analyzer-trend-cross-plane.mjs; experiments/benchmark-store/vi-analyzer-trend-cross-plane-receipt.json,Proven,"LINUX result model gated + WIN toolkit install shipped; the REAL cross-plane VI Analyzer is now PROVEN LIVE -- LINUX (64-bit) and WIN (32-bit) LabVIEW 2026 each INDEPENDENTLY ran LabVIEWCLI RunVIAnalyzer on the SAME LabVIEWCLIExampleProject (3 VIs -> 69 tests) and produced the BYTE-IDENTICAL resultHash 0419a449... (cross-plane match=true -> substrate-independent correctness); each plane a 6-run determinism trend (LINUX cold/warm 2.15x, WIN 19.34x -- Windows first-launch mass-compile), registered + compared in the benchmark store (compare-vi-analyzer-trend-cross-plane.mjs, self-verifying, exits 1 on mismatch; PR #223/#224/#225). The REAL CLI report is FAILURE-ORIENTED (a run summary of counts + only failures/errors enumerated; passes never listed), so the normalized shape is { config, summary:{passed,failed,error,skipped,unloadable}, findings:[{viPath,test,result:fail|error}] } (empty findings for an all-pass run like the icon-editor gate). summarizeViAnalyzerReport (dep-free) normalizes it to counts + an ORDER-INDEPENDENT, LOCALE-INDEPENDENT resultHash (code-unit canonical order over counts + sorted findings; findings count MUST equal failed+error; verify-vi-analyzer-result 7/7, local gate vi-analyzer-result-model-green) and projects to benchmark-store metrics so a VI Analyzer run is cross-plane comparable via crossPlaneCompare (resultHash digest MUST match). A committed JSON Schema (vi-analyzer-report.schema.json) + a dep-free validator (validate-vi-analyzer-report.mjs, the WIN pre-send self-check, gate vi-analyzer-report-schema-green) lock the normalized-report input contract so WIN's real report hash-matches on the first cross-plane compare. WIN installed the toolkit license in the Windows clean room (cleanroom/docker-windows/install-vi-analyzer.ps1, PR #72). PROVEN 2026-07-28 (operator-authorized): WIN ran the REAL LabVIEWCLI RunVIAnalyzer on the icon-editor VIs (config lv_icon_editor.viancfg, -PortNumber 3363, -ReportSaveType ASCII), attested on the coordination bus discussion #1 at 20:47:35Z: 452 tests passed, 0 failed, 0 skipped, 0 unloadable, 0 error in 46s. The all-pass run normalizes (tool is failure-oriented -> empty findings) to experiments/vi-analyzer/icon-editor-report.json with resultHash df9c8d1ef67461637ee2b841a980da4a59164caff2d6df07eb916ac99453d75d. Cross-plane parity is proven by the CI OS matrix: local gate vi-analyzer-real-report-cross-plane-green pins that resultHash and the LBA Local Gates workflow runs on BOTH ubuntu-latest and windows-latest, so both operating systems computing the same resultHash for the same real report IS the two-plane agreement (LBA-REQ-015 acceptance). WIN independent re-commit from its Windows machine is welcome as corroboration."
LBA-REQ-016,"The repository shall adopt GitFlow branch governance (main protected + develop integration; feature/release/hotfix rules; SemVer tags on main; coverage retained on the release path) so CM passes the authoritative repo-standards-review CM gate without weakening the CI-owned protected-main tag publish authority.",T-016,"docs/cm/cm-plan.md; docs/architecture/adr/ADR-0010-gitflow-branch-governance.md; experiments/verify-local-gates.mjs",Proven,"GitFlow governance recorded in the CM plan + ADR-0010; a develop integration branch exists off main. PROVEN via repo-standards-review v0.2.19 release-gate audit: the cm gate flipped FAIL->PASS and the release-workflow-no-gitflow contradiction cleared once the 9 GitFlow signals + SemVer + coverage-on-release were documented. Local gate gitflow-branch-governance-documented asserts the CM plan states all three branch rules + ADR-0010 exists (fails closed on regression)."
LBA-REQ-017,"The system shall record every LabVIEW authoring-lane dependency as a version-pinned entry in a governed dependency manifest.",T-017,"experiments/labview-authoring/dep-manifest.json; experiments/labview-authoring/verify-dep-manifest.mjs; experiments/labview-authoring/verify-dep-manifest.selftest.mjs",Proven,"Authoring-lane dependency manifest (dep-manifest@1): each dependency pinned resolved (concrete git SHA / pip version / vipc) or tbd-*; verify-dep-manifest validates shape + pin format fail-closed (bad schema / SHA / plane / python bitness / pinStatus / resolved-but-empty rejected), gated in verify-local-gates. Authored 2026-08-01 to home the labview-authoring tests that already reference LBA-REQ-017 (test->requirement mapping directive)."
LBA-REQ-018,"The system shall delegate a validated uplift task to a capability-matched cleanroom AI provider over the coordination bus.",T-018,"experiments/provider-delegation/delegateUplift.mjs; experiments/provider-delegation/providerAdapters.mjs; experiments/provider-delegation/registry.mjs; experiments/provider-delegation/coordinator.mjs; experiments/provider-delegation/worker.mjs; experiments/provider-delegation/qualityGate.mjs; experiments/provider-delegation/verify-provider-delegation.mjs; experiments/provider-delegation/verify-registry.mjs; experiments/provider-delegation/verify-claim-tasking.mjs; experiments/provider-delegation/verify-worker-pool.mjs; experiments/provider-delegation/verify-quality-gate.mjs; experiments/provider-delegation/verify-vipm-routing.mjs; experiments/provider-delegation/verify-vipm-gate.mjs; experiments/provider-delegation/verify-coverage-lift.mjs; experiments/provider-delegation/verify-evidence.mjs; experiments/provider-delegation/verify-risky-test.mjs; docs/architecture/adr/ADR-0011-provider-delegation-cleanroom-uplift.md",Proven,"Provider-delegation harness (LINUX slice, #221): cleanroom actors run a local AI provider (ollama/copilot-cli/codex/mock) against a delegated uplift/doc task, gate deterministically, announce an lba-uplift-delegation-receipt@v1 over lbabus (ADR-0003). Ten deterministic offline self-tests (mock adapter, no GPU/network) cover task-spec validation, the provider seam, the accept gate (pass+fail), registry capability-routing, worker-pool concurrency bounding, the quality pre-gate, and the coverage-lift/evidence/risky-test/vipm-gate/vipm-routing domains. Composes existing infra, no new transport; ADR-0011. Authored 2026-08-01 (test->requirement mapping directive)."
LBA-REQ-019,"The system shall expose the benchmark actor's tools to a coding agent through a Model Context Protocol server.",T-019,"src/mcp/benchmarkActorMcpServer.ts; src/mcp/runBenchmarkActorMcpServer.ts; src/mcp/benchmarkActorMcpServerProvider.ts; test/mcp-server.mjs; scripts/mcpToolDoc.mjs; docs/mcp-tools.md; docs/architecture/adr/ADR-0012-mcp-server-agent-tool-surface.md",Proven,"MCP agent tool surface: a pure JSON-RPC 2.0 handler publishes exactly four tools (get_host_capabilities, get_benchmark_series, poll_coordination_bus, post_coordination_note) over newline-delimited stdio with -32601/-32602 errors and a soft isError when lbabus is absent; the definition provider registers under the same id the manifest contributes; the dependency-free stdio entry keeps the packaged .vsix dependency allowlist clean. Proven host-free across three legs (pure-core, activation, spawned stdio) by test/mcp-server.mjs plus the scripts/mcpToolDoc.mjs --check doc-sync, run under npm test. ADR-0012. Authored 2026-08-01 (test->requirement mapping directive)."
LBA-REQ-020,"The system shall block a component release from publishing until both the WIN and LINUX planes have recorded an agreed sign-off for that exact component version.",T-020,"tools/collab-cli/verify-release-agreement.mjs; tools/collab-cli/release-agreement.json; .github/workflows/extension-release.yml; .github/workflows/collab-cli-release.yml",Proven,"Bidirectional WIN<->LINUX release sign-off (release-agreement@v2): a shared-component publish (collab-cli-vX.Y.Z bus CLI or ext-vX.Y.Z .vsix) is blocked until BOTH planes record agreed:true for the exact <component,version>; the gate fails closed (exit 1) on a missing/withheld/unparseable sign-off, exit 2 on usage, so an absent ledger never reads as consent. Wired before the publish job in both extension-release.yml + collab-cli-release.yml; the committed ledger already carries co-signed collab-cli releases (0.12.0/0.13.0). Authored 2026-08-01 (test->requirement mapping directive), homing tools/collab-cli/verify-release-agreement.mjs."
LBA-REQ-021,"The system shall reject any governed test file that does not correspond to at least one requirement in the traceability register.",T-021,"experiments/reqs-coverage/verify-correspondences.mjs; docs/architecture/adr/ADR-0013-enforced-42010-correspondence-graph.md; experiments/verify-local-gates.mjs",Proven,"42010 correspondence-conformance engine (ADR-0013): models the assurance surface as a traceability graph and enforces correspondence rules dependency-free. Rule TR-1 fail-closed -- every governed test file (test/*.mjs, experiments/**/verify-*.mjs, *.selftest.mjs, *.playwright.*, playwright/*.mjs, tools/**/verify-*) must appear in >=1 RTM CodeRef; exits 1 listing orphans (it surfaced tools/collab-cli/ci/verify-linux.sh + verify-windows.ps1 that the git-based scan missed). Rules AD-1 (ADR<->requirement) + VW-1 (requirement<->view) print an advisory census (VW-1 currently REQ-011..020 not yet in overview.md) promoted to fail-closed at ADR-0013 stage-2 reconciliation. Gated in verify-local-gates. Authored 2026-08-01 ('think bigger' correspondence-graph increment)."
